"last_name, first_name","player_id","year","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","oz_swing_percent","whiff_percent","swing_percent"
"Conforto, Michael","624424","2018","638","28","159",24.9,13.2,".243",".448",".350",".342",".340",36.6,9.5,37.8,"99.317855233","93.722309275",24.2,27.7,43.2
"Anderson, Tim","641313","2018","606","20","149",24.6,5,".240",".406",".281",".294",".272",33.3,4.7,27.9,"96.290161381","92.154393786",36.2,27.7,54.1
"Bellinger, Cody","641355","2018","632","25","151",23.9,10.9,".260",".470",".343",".345",".327",32,8.6,38.9,"100.286797015","94.235645224",24.4,29.7,45.1
"Mancini III, Trey","641820","2018","636","24","153",24.1,6.9,".242",".416",".299",".308",".328",27.6,11.8,42.9,"101.237612949","94.749301728",31.5,27.7,49.5
"Rosario, Amed","642708","2018","592","9","119",20.1,4.9,".256",".381",".295",".290",".289",32.4,3.9,32.3,"97.6158547","92.837680624",38,25.8,54.3
"Benintendi, Andrew","643217","2018","661","16","106",16,10.7,".290",".465",".366",".357",".353",37.3,6.4,33.7,"98.01397825","93.080004927",24.3,19.2,46
"Albies, Ozzie","645277","2018","684","24","116",17,5.3,".261",".452",".305",".324",".301",34,4.7,29.4,"96.721019502","92.378085701",32.6,22,56.8
"Chapman, Matt","656305","2018","616","24","146",23.7,9.4,".278",".508",".356",".369",".338",30.5,8.9,47.8,"103.455659303","96.18152783",21.1,23.6,41.5
"Hoskins, Rhys","656555","2018","660","34","150",22.7,13.2,".246",".496",".354",".363",".348",35.8,11.4,39.2,"99.731388439","93.981507171",19.7,21.9,39.2
"Schwarber, Kyle","656941","2018","510","26","140",27.5,15.3,".238",".467",".356",".343",".350",34,12.7,45,"102.880206783","95.766867343",21.9,30,41.7
"Moncada, Yoán","660162","2018","650","17","217",33.4,10.3,".235",".400",".315",".311",".298",36.4,9.6,44.2,"100.753027017","94.65083072",20.4,31,41.2
"Pujols, Albert","405395","2019","545","23","68",12.5,7.9,".244",".430",".305",".308",".319",26.5,5.8,36.6,"98.702028255","93.397586981",30.8,18.2,44.5
"Cabrera, Miguel","408234","2019","549","12","108",19.7,8.7,".282",".398",".346",".318",".331",38.5,6.4,44.4,"100.398112564","94.438305641",34,24.4,49.6
"Choo, Shin-Soo","425783","2019","660","24","165",25,11.8,".265",".455",".371",".353",".362",31.8,8.8,49,"102.002794264","95.652745761",20.4,29.2,42.4
"Jones, Adam","430945","2019","528","16","101",19.1,5.9,".260",".414",".313",".308",".319",31.3,6.7,31,"97.264484508","92.647410494",39.3,26.7,54.5
"Cruz Jr., Nelson","443558","2019","521","41","131",25.1,10.7,".311",".639",".392",".417",".415",38.3,19.9,51.5,"105.351946319","97.322233957",27.3,32.6,46.2
"Longoria, Evan","446334","2019","508","20","112",22,8.5,".254",".437",".325",".322",".351",35.8,7.5,40.8,"99.366085607","93.904958902",30.1,25.7,46.8
"Fowler, Dexter","451594","2019","574","19","142",24.7,12.9,".238",".409",".346",".326",".340",40.6,7.4,28.7,"96.524358779","92.292498076",23.4,27,42.9
"Cabrera, Asdrúbal","452678","2019","514","18","103",20,11.1,".260",".441",".342",".331",".317",37.3,5.7,35.3,"97.630785829","92.935685272",25.1,20.6,45.5
"Blackmon, Charlie","453568","2019","634","32","104",16.4,6.3,".314",".576",".364",".387",".367",36.8,8.3,40.3,"99.698822","94.031157328",30.5,19.5,49.9
"Cain, Lorenzo","456715","2019","623","11","106",17,8,".260",".372",".325",".302",".335",31.1,4.1,42.1,"100.238276903","94.349469379",25.2,19.2,44.7
"Turner, Justin","457759","2019","549","27","88",16,9.3,".290",".509",".372",".370",".377",38.6,7.8,43,"99.316567333","94.054303103",24.5,17.1,45.5
"Votto, Joey","458015","2019","608","15","123",20.2,12.5,".261",".411",".357",".332",".347",40.7,6.9,38.2,"98.39220904","93.284395747",18.5,19.6,41.5
"Gardner, Brett","458731","2019","550","28","108",19.6,9.5,".251",".503",".325",".344",".299",29.5,4.1,32.7,"97.488521211","92.787581583",22.6,19.5,38.7
"Braun, Ryan","460075","2019","508","22","105",20.7,6.7,".285",".505",".343",".354",".339",33.3,9.5,45.3,"102.052932898","95.456152393",34.7,24.8,51.6
"Gordon, Alex","460086","2019","633","13","100",15.8,8.1,".266",".396",".345",".319",".330",33.7,5.4,38.4,"98.714198996","93.515087773",26.8,21.8,48.1
"Andrus, Elvis","462101","2019","648","12","96",14.8,5.2,".275",".393",".313",".300",".311",32.5,3.5,34.8,"98.037067647","93.090040864",32.6,19.6,46.4
"Ramos, Wilson","467092","2019","524","14","69",13.2,8.4,".288",".416",".351",".327",".314",25.8,4.7,42.5,"100.551024657","94.552424005",34.1,20.5,53.9
"Santana, Carlos","467793","2019","686","34","108",15.7,15.7,".281",".515",".397",".380",".367",29.1,9.6,44.9,"101.70770382","95.190037742",17.9,20.3,39.5
"Belt, Brandon","474832","2019","616","17","127",20.6,13.5,".234",".403",".339",".319",".346",41.4,8.7,35.7,"97.86413404","92.972052601",22.7,22.8,46.3
